text,score,label,aspect,context,sentiment
I want a refund.,1.3,Negative Sentiment,Up Aspect,Always.,negative
Delivery was as expected.,7.5,Neutral Sentiment,Those Aspect,Home region accept.,neutral
"In my opinion, Fantastic deal on this smartphone! Better price than anywhere else.",8.6,Highly Positive Sentiment (8-10),Price Satisfaction,Purchase Decision,positive
Not worth the money.,2.2,Negative Sentiment,Data Aspect,Off individual.,negative
Your customer service is amazing! The agent helped me find exactly what I needed.,9.2,Highly Positive Sentiment (8-10),Service Appreciation,Support Interaction,positive
Worst experience ever.,0.5,Negative Sentiment,Laugh Aspect,Police box your see.,negative
Comparison tool is useful but could show more details. Absolutely loved it.,7.3,Moderately Positive Sentiment (6-7.9),Feature Feedback,Product Research,neutral
Product meets the description.,6.5,Neutral Sentiment,Model Aspect,Beautiful difference still.,neutral
Absolutely love it!,9.2,Positive Sentiment,Expert Aspect,Necessary machine.,positive
Highly recommended.,9.3,Positive Sentiment,Little Aspect,Skill PM.,positive
Worst experience ever.,2.3,Negative Sentiment,Sense Aspect,Carry authority.,negative
Delivery was as expected.,7.7,Neutral Sentiment,Wind Aspect,Enough change take.,neutral
"Honestly, The voice assistant feature is brilliant! Made shopping so convenient.",9,Highly Positive Sentiment (8-10),Feature Appreciation,Voice Commerce,positive
Basic but functional.,6,Neutral Sentiment,Purpose Aspect,Describe according.,neutral
"In my opinion, The return process was straightforward.",7,Moderately Positive Sentiment (6-7.9),Process Satisfaction,Returns,neutral
"It's okay, nothing special.",7,Neutral Sentiment,No Aspect,Suffer difficult.,neutral
Product meets the description.,7.1,Neutral Sentiment,Reflect Aspect,Why.,neutral
Delivery was as expected.,6,Neutral Sentiment,People Aspect,Full seek.,neutral
I want a refund.,2.7,Negative Sentiment,Rock Aspect,Strong thus.,negative
Terrible quality and late delivery.,0.4,Negative Sentiment,Marriage Aspect,History me relate.,negative
Very disappointed.,2.7,Negative Sentiment,Data Aspect,Campaign against.,negative
Not worth the money.,0.6,Negative Sentiment,How Aspect,Door weight.,negative
Worst experience ever.,0.4,Negative Sentiment,Article Aspect,Later half across early.,negative
Very satisfied with my purchase.,9,Positive Sentiment,Onto Aspect,As prevent.,positive
Prices are too high compared to competitors. Just wow!,3.4,Negative Sentiment (2-3.9),Price Complaint,Market Comparison,negative
Basic but functional.,7.5,Neutral Sentiment,Find Aspect,Set rest ok.,neutral
